data,unidades,receita,preco_medio,indice_concorr,tem_promocao,estoque_medio,dia_semana,mes,semana_ano,dia_mes,trimestre,is_fim_semana,mes_sin,mes_cos,dow_sin,dow_cos,is_feriado,lag_1d,lag_7d,lag_14d,lag_21d,lag_28d,lag_35d,roll_mean_7d,roll_std_7d,roll_max_7d,roll_min_7d,roll_med_7d,roll_mean_14d,roll_std_14d,roll_max_14d,roll_min_14d,roll_med_14d,roll_mean_28d,roll_std_28d,roll_max_28d,roll_min_28d,roll_med_28d,diff_1d,diff_7d,diff_28d,trend_idx,aceleracao_7_28,roll_receita_7d,roll_receita_28d,lag_concorr_7d,promo_lag_1d,promo_lag_7d,cat_Beleza,cat_Casa & Jardim,cat_Eletrônicos,cat_Esportes,cat_Moda
2022-01-11,257,17178.21,91.86666666666667,0.9929333333333333,0,3525.3333333333335,1,1,2,11,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,281.0,276.0,,,,,336.14285714285717,54.68829421192002,417.0,276.0,331.0,,,,,,,,,,,-136.0,-3.0,,10,,22685.985714285714,,0.991647619047619,0.0,0.0,True,False,False,False,False
2022-01-12,287,19465.260000000002,89.73,0.9923000000000001,0,3429.6666666666665,2,1,2,12,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,257.0,343.0,,,,,333.42857142857144,58.508851589188744,417.0,257.0,331.0,,,,,,,,,,,-24.0,-19.0,,11,,22318.45,,0.9915857142857142,0.0,0.0,True,False,False,False,False
2022-01-13,320,21362.25,89.24666666666667,0.9927,0,3323.0,3,1,2,13,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,287.0,307.0,,,,,325.42857142857144,60.76692396048239,417.0,257.0,307.0,,,,,,,,,,,30.0,-56.0,,12,,21986.62,,0.9914142857142857,0.0,0.0,True,False,False,False,False
2022-01-14,385,26212.54,94.31666666666666,0.9909666666666667,0,3194.6666666666665,4,1,2,14,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,320.0,331.0,,,,,327.2857142857143,60.30675552460738,417.0,257.0,320.0,,,,,,,,,,,33.0,13.0,,13,,21955.675714285717,,0.991195238095238,0.0,0.0,True,False,False,False,False
2022-01-15,430,31263.39,94.60000000000001,0.9900666666666668,0,3051.3333333333335,5,1,2,15,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,385.0,398.0,401.0,,,,335.0,64.18982266164423,417.0,257.0,320.0,333.2857142857143,54.00773245411406,417.0,257.0,325.5,,,,,,65.0,54.0,,14,,22518.555714285718,,0.9911380952380953,0.0,0.0,True,False,False,False,False
2022-01-16,402,26082.43,88.87666666666667,0.9941,0,2917.3333333333335,6,1,2,16,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,430.0,417.0,379.0,,,,339.57142857142856,70.27530894716188,430.0,257.0,320.0,335.35714285714283,57.26269713798403,430.0,257.0,325.5,,,,,,45.0,32.0,,15,,23230.644285714283,,0.9916571428571429,0.0,0.0,True,False,False,False,False
2022-01-17,307,21375.17,94.57,0.9974,0,2815.0,0,1,3,17,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,402.0,281.0,284.0,,,,337.42857142857144,67.7024301455941,430.0,257.0,320.0,337.0,58.91715174064993,430.0,257.0,325.5,,,,,,-28.0,-15.0,,16,,23100.795714285716,,0.9924714285714286,0.0,0.0,True,False,False,False,False
2022-01-18,293,20483.760000000002,93.40666666666665,0.9960666666666667,0,2717.3333333333335,1,1,3,18,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,307.0,257.0,276.0,,,,341.14285714285717,64.73903657873556,430.0,257.0,320.0,338.64285714285717,57.632265459358976,430.0,257.0,325.5,,,,,,-95.0,26.0,,17,,23277.035714285714,,0.9929238095238097,0.0,0.0,True,False,False,False,False
2022-01-19,312,22484.370000000003,91.84666666666668,0.9946333333333333,0,2613.3333333333335,2,1,3,19,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,293.0,287.0,343.0,,,,346.2857142857143,58.022163253117625,430.0,287.0,320.0,339.85714285714283,56.376286808246896,430.0,257.0,325.5,,,,,,-14.0,36.0,,18,,23749.257142857146,,0.9933714285714287,0.0,0.0,True,False,False,False,False
2022-01-20,349,21981.39,91.74666666666667,0.9911666666666666,0,2497.0,3,1,3,20,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,312.0,320.0,307.0,,,,349.85714285714283,54.42250934870175,430.0,293.0,320.0,337.64285714285717,56.850150047643325,430.0,257.0,316.0,,,,,,19.0,25.0,,19,,24180.558571428573,,0.9937047619047619,0.0,0.0,True,False,False,False,False
2022-01-21,359,23974.45,88.65666666666665,0.9894,0,2377.3333333333335,4,1,3,21,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,349.0,385.0,331.0,,,,354.0,52.8519946012763,430.0,293.0,349.0,340.64285714285717,56.213339701885346,430.0,257.0,325.5,,,,,,37.0,29.0,,20,,24269.007142857143,,0.9934857142857142,0.0,0.0,True,False,False,False,False
2022-01-22,472,28638.690000000002,91.50999999999999,0.9875666666666666,1,2220.0,5,1,3,22,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,359.0,430.0,398.0,401.0,,,350.2857142857143,51.19802823584225,430.0,293.0,349.0,342.64285714285717,56.34182370939991,430.0,257.0,334.5,,,,,,10.0,-26.0,,21,,23949.28,,0.9932619047619047,0.0,0.0,True,False,False,False,False
2022-01-23,502,32338.39,93.16333333333334,0.9874333333333333,1,2052.6666666666665,6,1,3,23,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,472.0,402.0,417.0,379.0,,,356.2857142857143,63.16041557208202,472.0,293.0,349.0,347.92857142857144,64.77471525420806,472.0,257.0,334.5,,,,,,113.0,42.0,,22,,23574.32285714286,,0.9929047619047618,1.0,1.0,True,False,False,False,False
2022-01-24,364,20565.4,88.36666666666667,0.9892,1,1931.3333333333333,0,1,4,24,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,502.0,307.0,281.0,284.0,,,370.57142857142856,83.31637922773082,502.0,293.0,349.0,354.0,74.933816952541,502.0,257.0,334.5,,,,,,30.0,100.0,,23,,24468.031428571434,,0.9919523809523809,1.0,2.0,True,False,False,False,False
2022-01-25,337,20873.260000000002,87.86,0.9922,1,1819.0,1,1,4,25,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,364.0,293.0,257.0,276.0,,,378.7142857142857,78.72677284065932,502.0,293.0,359.0,359.92857142857144,71.93743466022751,502.0,257.0,354.0,,,,,,-138.0,57.0,,24,,24352.350000000002,,0.9907809523809522,1.0,3.0,True,False,False,False,False
2022-01-26,353,21091.36,92.01666666666667,0.9931000000000001,1,1701.3333333333333,2,1,4,26,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,337.0,312.0,287.0,343.0,,,385.0,72.23111056416997,502.0,312.0,359.0,365.64285714285717,66.07059993540373,502.0,287.0,354.0,,,,,,-27.0,44.0,,25,,24407.992857142857,,0.9902285714285713,1.0,4.0,True,False,False,False,False
2022-01-27,340,21911.010000000002,90.88333333333333,0.9968,1,1588.0,3,1,4,27,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,353.0,349.0,320.0,307.0,,,390.85714285714283,66.78180533505768,502.0,337.0,359.0,370.35714285714283,62.27310463145028,502.0,293.0,356.0,,,,,,16.0,41.0,,26,,24208.99142857143,,0.9900095238095238,1.0,5.0,True,False,False,False,False
2022-01-28,395,24217.86,89.38,0.9960666666666667,1,1456.3333333333333,4,1,4,28,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,340.0,359.0,385.0,331.0,,,389.57142857142856,67.80082876302025,502.0,337.0,359.0,371.7857142857143,61.25002803318483,502.0,293.0,356.0,,,,,,-13.0,-9.0,,27,,24198.937142857143,,0.9908142857142858,1.0,6.0,True,False,False,False,False
2022-01-29,479,28779.41,89.09333333333332,1.0012333333333332,1,1296.6666666666667,5,1,4,29,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,395.0,472.0,430.0,398.0,401.0,,394.7142857142857,66.4472579963847,502.0,337.0,364.0,372.5,61.47388438628598,502.0,293.0,356.0,352.89285714285717,60.18818592437991,502.0,257.0,346.0,55.0,36.0,,28,1.1185102722364824,24233.71,23265.08035714286,0.9917666666666667,1.0,7.0,True,False,False,False,False
2022-01-30,378,23919.2,87.8,1.0057333333333334,0,1170.6666666666667,6,1,4,30,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,479.0,502.0,402.0,417.0,379.0,,395.7142857142857,67.84225400568177,502.0,337.0,364.0,376.0,66.21178142898735,502.0,293.0,356.0,355.67857142857144,64.17052142616436,502.0,257.0,346.0,84.0,7.0,78.0,29,1.1125615021557234,24253.812857142857,23384.980000000003,0.9937190476190476,1.0,7.0,True,False,False,False,False
2022-01-31,280,19764.34,90.53000000000002,1.0047,0,1077.3333333333333,0,1,5,31,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,378.0,364.0,307.0,281.0,284.0,,378.0,49.05099387372298,479.0,337.0,364.0,374.2857142857143,65.79622221026715,502.0,293.0,356.0,355.64285714285717,64.15733801494589,502.0,257.0,346.0,-101.0,-124.0,-1.0,30,1.0628640289184816,23051.071428571428,23335.097142857143,0.9963333333333333,0.0,6.0,True,False,False,False,False
2022-02-01,157,10779.09,90.83999999999999,1.0041,0,1025.0,1,2,5,1,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,280.0,337.0,293.0,257.0,276.0,,366.0,61.692787260748766,479.0,280.0,353.0,372.35714285714283,68.26938399611342,502.0,280.0,356.0,355.5,64.32700026398683,502.0,257.0,346.0,-98.0,-84.0,-4.0,31,1.029535864976007,22936.634285714284,23313.00142857143,0.998547619047619,0.0,5.0,True,False,False,False,False
2022-02-02,166,11528.76,88.73666666666666,1.0015,0,969.6666666666666,2,2,5,2,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1,157.0,353.0,312.0,287.0,343.0,,340.2857142857143,100.8690806370883,479.0,157.0,353.0,362.64285714285717,87.41994768213516,502.0,157.0,356.0,351.25,73.1060239702635,502.0,157.0,346.0,-123.0,-180.0,-119.0,32,0.9687849517003431,21494.609999999997,22992.577500000003,1.000247619047619,0.0,4.0,True,False,False,False,False
2022-02-03,190,13428.37,94.59333333333335,0.9986666666666667,0,2258.6666666666665,3,2,5,3,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,166.0,340.0,349.0,320.0,307.0,,313.57142857142856,119.90670976896592,479.0,157.0,340.0,352.2142857142857,101.50041953034066,502.0,157.0,356.0,344.92857142857144,81.06509893012074,502.0,157.0,344.5,9.0,-187.0,-177.0,33,0.9090909090882734,20128.524285714288,22626.173571428575,1.001447619047619,0.0,3.0,True,False,False,False,False
2022-02-04,219,15159.45,92.66666666666667,0.9961333333333333,0,2185.6666666666665,4,2,5,4,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1,190.0,395.0,359.0,385.0,331.0,,292.14285714285717,127.55577678206566,479.0,157.0,280.0,340.85714285714283,110.39360150274676,502.0,157.0,356.0,340.75,85.96020827922304,502.0,157.0,344.5,24.0,-150.0,-117.0,34,0.8573524787732937,18916.71857142857,22335.084642857142,1.0017142857142858,0.0,2.0,True,False,False,False,False
2022-02-05,253,18120.93,92.93666666666667,0.9954333333333333,0,2101.3333333333335,5,2,5,5,1,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1,219.0,479.0,472.0,430.0,398.0,401.0,267.0,121.08399288648064,479.0,157.0,219.0,330.85714285714283,114.87374818459621,502.0,157.0,346.5,336.75,88.98340461173811,502.0,157.0,344.5,29.0,-176.0,-112.0,35,0.7928730512225899,17622.66,22081.051428571427,1.0017238095238095,0.0,1.0,True,False,False,False,False
2022-02-06,374,27217.53,94.10333333333334,0.9958666666666667,0,4078.3333333333335,6,2,5,6,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,253.0,378.0,502.0,402.0,417.0,379.0,234.71428571428572,77.37724533244928,378.0,157.0,219.0,315.2142857142857,108.9327093431315,502.0,157.0,338.5,331.57142857142856,89.5045740902038,502.0,157.0,338.5,34.0,-226.0,-145.0,36,0.7078845325269474,16100.02,21789.700000000004,1.000895238095238,0.0,0.0,True,False,False,False,False
2022-02-07,288,18561.47,92.09333333333335,0.9994,0,3982.3333333333335,0,2,6,7,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,374.0,280.0,364.0,307.0,281.0,284.0,234.14285714285714,76.14772610180908,374.0,157.0,219.0,306.07142857142856,96.73871572891137,479.0,157.0,338.5,330.0357142857143,88.34590356801314,502.0,157.0,338.5,121.0,-4.0,-43.0,37,0.7094470295401077,16571.21,21797.777142857143,0.9994857142857142,0.0,0.0,True,False,False,False,False
2022-02-08,255,17956.63,92.18,1.0014,0,3897.3333333333335,1,2,6,8,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,288.0,157.0,337.0,293.0,257.0,276.0,235.28571428571428,77.00587485318708,374.0,157.0,219.0,300.64285714285717,95.36053621982143,479.0,157.0,312.5,330.2857142857143,88.21180619011692,502.0,157.0,338.5,-86.0,8.0,7.0,38,0.7123702422123761,16399.37142857143,21741.34785714286,0.9987285714285715,0.0,0.0,True,False,False,False,False
2022-02-09,323,21018.27,90.2,1.0003333333333333,0,3789.6666666666665,2,2,6,9,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,255.0,166.0,353.0,312.0,287.0,343.0,249.28571428571428,68.88084950529706,374.0,166.0,253.0,294.7857142857143,95.47386156303854,479.0,157.0,284.0,330.2142857142857,88.27413410123461,502.0,157.0,338.5,-33.0,98.0,-2.0,39,0.7549210469369307,17424.734285714287,21769.148571428574,0.9983428571428572,0.0,0.0,True,False,False,False,False
2022-02-10,288,20651.78,94.38666666666666,0.9993,0,3693.6666666666665,3,2,6,10,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,323.0,190.0,340.0,349.0,320.0,307.0,271.7142857142857,62.507904262085596,374.0,190.0,255.0,292.64285714285717,94.397365627239,479.0,157.0,284.0,331.5,87.88270802820297,502.0,157.0,338.5,68.0,157.0,36.0,40,0.8196509372955236,18780.37857142857,21824.613214285717,0.9981761904761904,0.0,0.0,True,False,False,False,False
2022-02-11,376,26177.93,92.37,1.0030333333333334,0,3568.3333333333335,4,2,6,11,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,288.0,219.0,395.0,359.0,385.0,331.0,285.7142857142857,51.087226993689235,374.0,219.0,288.0,288.92857142857144,93.4085025661388,479.0,157.0,284.0,330.35714285714283,88.2451191749496,502.0,157.0,338.5,-35.0,98.0,-32.0,41,0.864864864862247,19812.294285714284,21799.239285714284,0.9982666666666666,0.0,0.0,True,False,False,False,False
2022-02-12,417,30168.18,91.56666666666666,1.0035666666666667,0,3429.3333333333335,5,2,6,12,1,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,376.0,253.0,479.0,472.0,430.0,398.0,308.14285714285717,51.379076712310635,376.0,253.0,288.0,287.57142857142856,91.87425711742723,479.0,157.0,284.0,330.0357142857143,88.05489960198321,502.0,157.0,338.5,88.0,157.0,-9.0,42,0.9336651877474146,21386.36285714286,21798.003214285716,0.999252380952381,0.0,0.0,True,False,False,False,False
2022-02-13,401,25898.030000000002,94.45333333333333,1.0050333333333332,0,3295.6666666666665,6,2,6,13,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,417.0,374.0,378.0,502.0,402.0,417.0,331.57142857142856,58.88649291322275,417.0,255.0,323.0,283.14285714285717,83.00311128817094,417.0,157.0,284.0,329.57142857142856,87.54107123767194,502.0,157.0,338.5,41.0,164.0,-13.0,43,1.0060684872097778,23107.398571428574,21758.88857142857,1.0004142857142857,0.0,0.0,True,False,False,False,False
2022-02-14,324,21178.9,93.46,1.0042333333333333,0,3187.6666666666665,0,2,7,14,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,401.0,288.0,280.0,364.0,307.0,281.0,335.42857142857144,62.87781045503284,417.0,255.0,323.0,284.7857142857143,85.22294614392626,417.0,157.0,284.0,329.5357142857143,87.51062671675817,502.0,157.0,338.5,-16.0,27.0,-1.0,44,1.0178823019368701,22918.898571428574,21752.302857142855,1.0017238095238097,0.0,0.0,True,False,False,False,False
2022-02-15,264,17896.82,90.32666666666667,1.0068333333333335,0,3099.6666666666665,1,2,7,15,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,324.0,255.0,157.0,337.0,293.0,257.0,340.57142857142856,59.74628898617084,417.0,255.0,324.0,287.92857142857144,85.8419516282142,417.0,157.0,288.0,330.14285714285717,87.40739619764972,502.0,157.0,338.5,-77.0,36.0,17.0,45,1.031588057115006,23292.817142857148,21745.293214285717,1.0024142857142857,0.0,0.0,True,False,False,False,False
2022-02-16,301,20406.23,89.56333333333333,1.0041,0,2999.3333333333335,2,2,7,16,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,264.0,323.0,166.0,353.0,312.0,287.0,341.85714285714283,57.65827078985444,417.0,264.0,324.0,295.57142857142856,77.6617065183393,417.0,166.0,288.0,329.10714285714283,88.03338562231367,502.0,157.0,338.5,-60.0,9.0,-29.0,46,1.0387411828508861,23284.272857142856,21652.9025,1.0031904761904762,0.0,0.0,True,False,False,False,False
2022-02-17,343,22774.29,92.08,1.0030333333333334,0,2885.0,3,2,7,17,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,301.0,288.0,190.0,340.0,349.0,320.0,338.7142857142857,59.42983057274143,417.0,264.0,324.0,305.2142857142857,68.13242599913406,417.0,190.0,294.5,328.7142857142857,88.13703856006036,502.0,157.0,338.5,37.0,-22.0,-11.0,47,1.03042155584215,23196.838571428572,21578.683214285713,1.0037285714285715,0.0,0.0,True,False,False,False,False
2022-02-18,335,22522.58,91.32666666666667,1.0052333333333332,0,2773.3333333333335,4,2,7,18,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,343.0,376.0,219.0,395.0,359.0,385.0,346.57142857142856,55.08435090191867,417.0,264.0,343.0,316.14285714285717,60.01776293841577,417.0,219.0,312.0,328.5,88.09317457900703,502.0,157.0,338.5,42.0,55.0,-6.0,48,1.0550119591183365,23500.054285714286,21607.00107142857,1.0042619047619048,0.0,0.0,True,False,False,False,False
2022-02-19,389,27094.58,89.98333333333333,1.0070333333333334,0,2643.6666666666665,5,2,7,19,1,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,335.0,417.0,253.0,479.0,472.0,430.0,340.7142857142857,53.593265390700786,417.0,264.0,335.0,324.42857142857144,53.19443910455638,417.0,253.0,323.5,327.64285714285717,87.90197161472896,502.0,157.0,336.0,-8.0,-41.0,-24.0,49,1.039895356438945,22977.86142857143,21555.148571428574,1.0045761904761905,0.0,0.0,True,False,False,False,False
2022-02-20,377,26337.53,94.23666666666668,1.0028333333333335,0,2518.0,6,2,7,20,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,389.0,401.0,374.0,378.0,502.0,402.0,336.7142857142857,47.6679986493883,401.0,264.0,335.0,334.14285714285717,51.53916679852052,417.0,255.0,329.5,324.67857142857144,84.17400565206118,502.0,157.0,336.0,54.0,-28.0,-83.0,50,1.0370696293005128,22538.77571428572,21500.00178571429,1.0050714285714286,0.0,0.0,True,False,False,False,False
2022-02-21,305,20700.690000000002,91.18666666666667,0.9978333333333333,0,2416.3333333333335,0,2,8,21,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0,377.0,324.0,288.0,280.0,364.0,307.0,333.2857142857143,42.89799640120834,389.0,264.0,335.0,334.35714285714283,51.72353599498183,417.0,255.0,329.5,320.2142857142857,77.46892191346065,479.0,157.0,336.0,-12.0,-24.0,-125.0,51,1.0408208788725024,22601.561428571433,21285.68535714286,1.004757142857143,0.0,0.0,True,False,False,False,False
2022-02-22,277,18400.25,89.2,0.9969,0,2324.0,1,2,8,22,1,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,305.0,264.0,255.0,157.0,337.0,293.0,330.57142857142856,44.165813109451925,389.0,264.0,335.0,335.57142857142856,50.74175080469021,417.0,255.0,329.5,318.10714285714283,77.03502776429372,479.0,157.0,329.5,-72.0,-19.0,-59.0,52,1.039182665316145,22533.24571428572,21290.51714285714,1.0038428571428573,0.0,0.0,True,False,False,False,False
2022-02-23,348,21757.420000000002,93.21666666666665,1.0000333333333333,1,2208.0,2,2,8,23,1,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0,277.0,301.0,323.0,166.0,353.0,312.0,332.42857142857144,41.06440933808378,389.0,277.0,335.0,337.14285714285717,48.3383223394587,417.0,264.0,329.5,315.9642857142857,77.32398513558829,479.0,157.0,323.5,-28.0,13.0,-60.0,53,1.0521080592257874,22605.16428571429,21202.195357142857,1.0024238095238096,0.0,0.0,True,False,False,False,False
2022-02-24,367,23004.3,91.66333333333334,0.9979333333333332,1,2085.6666666666665,3,2,8,24,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0,348.0,343.0,288.0,190.0,340.0,349.0,339.14285714285717,38.85197794805537,389.0,277.0,343.0,338.92857142857144,48.237336777030556,417.0,264.0,339.0,315.7857142857143,77.24101632665513,479.0,157.0,323.5,71.0,47.0,-5.0,54,1.0739651662485783,22798.191428571427,21225.983214285716,1.0018428571428573,1.0,1.0,True,False,False,False,False
2022-02-25,390,24276.93,93.12,1.0012666666666667,1,1955.6666666666667,4,2,8,25,1,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,367.0,335.0,376.0,219.0,395.0,359.0,342.57142857142856,40.281745836284685,389.0,277.0,348.0,344.57142857142856,46.40741698961875,417.0,264.0,345.5,316.75,77.72154713391191,479.0,157.0,323.5,19.0,24.0,27.0,55,1.0815199007745764,22831.05,21265.02928571429,1.0011142857142858,1.0,2.0,True,False,False,False,False
2022-02-26,410,26456.83,93.09666666666665,0.9998333333333335,1,1819.0,5,2,8,26,1,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0,390.0,389.0,417.0,253.0,479.0,472.0,350.42857142857144,43.77159331064354,390.0,277.0,367.0,345.57142857142856,47.279389371486836,417.0,264.0,345.5,316.57142857142856,77.54063621450541,479.0,157.0,323.5,23.0,55.0,-5.0,56,1.106949458480258,23081.67142857143,21267.13892857143,1.000547619047619,1.0,3.0,True,False,False,False,False
2022-02-27,481,29405.32,92.44666666666666,1.0003,1,1658.6666666666667,6,2,8,27,1,1,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0,410.0,377.0,401.0,374.0,378.0,502.0,353.42857142857144,47.4231207424435,410.0,277.0,367.0,345.07142857142856,46.49642548000422,410.0,264.0,345.5,314.10714285714283,73.16006767797242,417.0,157.0,323.5,20.0,21.0,-69.0,57,1.1251847640669126,22990.564285714285,21184.18964285714,0.9995190476190476,1.0,4.0,True,False,False,False,False
